week,pollutant,AQI
2,NO2 (Plume AQI),10.929517825433685
3,NO2 (Plume AQI),8.848398106352526
4,NO2 (Plume AQI),5.9279524385328495
5,NO2 (Plume AQI),6.668822090178259
6,NO2 (Plume AQI),5.298660658405307
7,NO2 (Plume AQI),8.069257286117205
8,NO2 (Plume AQI),5.94320030026273
9,NO2 (Plume AQI),4.658880386629078
10,NO2 (Plume AQI),3.537605435801312
11,NO2 (Plume AQI),3.8098591549295775
12,NO2 (Plume AQI),3.809048806555041
13,NO2 (Plume AQI),2.460568777732957
14,NO2 (Plume AQI),2.3830175296382614
15,NO2 (Plume AQI),0.3736374646750101
16,NO2 (Plume AQI),3.082658439388096
17,NO2 (Plume AQI),7.241464928615766
18,NO2 (Plume AQI),7.978775079197466
19,NO2 (Plume AQI),5.228245067497404
20,NO2 (Plume AQI),3.729968518330456
21,NO2 (Plume AQI),5.23653962492438
22,NO2 (Plume AQI),3.5486453201970445
23,NO2 (Plume AQI),5.745818086774699
24,NO2 (Plume AQI),5.144845941242706
25,NO2 (Plume AQI),11.34374329255205
26,NO2 (Plume AQI),20.94800087393489
27,NO2 (Plume AQI),7.656288406390823
28,NO2 (Plume AQI),2.0210084033613445
29,NO2 (Plume AQI),2.2817890092258324
30,NO2 (Plume AQI),13.227319376026273
31,NO2 (Plume AQI),16.878871617731722
32,NO2 (Plume AQI),10.596584517844361
33,NO2 (Plume AQI),4.016734693877551
34,NO2 (Plume AQI),8.021518473406415
35,NO2 (Plume AQI),10.155405405405405
36,NO2 (Plume AQI),22.718854366966905
37,NO2 (Plume AQI),3.3323974731775796
38,NO2 (Plume AQI),4.484854815124295
39,NO2 (Plume AQI),2.3595957400565095
40,NO2 (Plume AQI),1.2563751028242391
2,VOC (Plume AQI),16.840732140417977
3,VOC (Plume AQI),16.04932291093251
4,VOC (Plume AQI),12.891273679967755
5,VOC (Plume AQI),12.032506116742399
6,VOC (Plume AQI),14.679684566278633
7,VOC (Plume AQI),11.504544030084613
8,VOC (Plume AQI),12.89866132866258
9,VOC (Plume AQI),15.095751107531212
10,VOC (Plume AQI),13.555646672914714
11,VOC (Plume AQI),12.954225352112676
12,VOC (Plume AQI),12.846930293314333
13,VOC (Plume AQI),14.771984671238403
14,VOC (Plume AQI),13.932617286452528
15,VOC (Plume AQI),13.886152603956399
16,VOC (Plume AQI),13.603419462655868
17,VOC (Plume AQI),13.447548106765984
18,VOC (Plume AQI),15.06441393875396
19,VOC (Plume AQI),13.668951194184839
20,VOC (Plume AQI),13.048339595815985
21,VOC (Plume AQI),13.694696511393426
22,VOC (Plume AQI),13.639470443349754
23,VOC (Plume AQI),13.811160480920021
24,VOC (Plume AQI),13.9211792404545
25,VOC (Plume AQI),13.720755526937111
26,VOC (Plume AQI),13.898514310683854
27,VOC (Plume AQI),13.497439573945105
28,VOC (Plume AQI),13.79501800720288
29,VOC (Plume AQI),14.004011231448054
30,VOC (Plume AQI),13.536535303776683
31,VOC (Plume AQI),12.84398388025331
32,VOC (Plume AQI),13.824317414868595
33,VOC (Plume AQI),13.805306122448979
34,VOC (Plume AQI),14.111956963053187
35,VOC (Plume AQI),13.626663977410246
36,VOC (Plume AQI),14.013966197753264
37,VOC (Plume AQI),13.047428055750526
38,VOC (Plume AQI),13.930749947775224
39,VOC (Plume AQI),14.38839382742882
40,VOC (Plume AQI),13.392651494378942
2,pm 10 (Plume AQI),22.06392569321131
3,pm 10 (Plume AQI),25.943961246284267
4,pm 10 (Plume AQI),25.902660217654173
5,pm 10 (Plume AQI),23.45630898287312
6,pm 10 (Plume AQI),30.9361622230567
7,pm 10 (Plume AQI),17.674396740833593
8,pm 10 (Plume AQI),22.27999499562117
9,pm 10 (Plume AQI),28.434252919855012
10,pm 10 (Plume AQI),18.225398313027178
11,pm 10 (Plume AQI),16.176826584507044
12,pm 10 (Plume AQI),18.039900249376558
13,pm 10 (Plume AQI),18.668515530455828
14,pm 10 (Plume AQI),19.377748505421014
15,pm 10 (Plume AQI),16.837303189341945
16,pm 10 (Plume AQI),26.610618331405064
17,pm 10 (Plume AQI),12.113594040968342
18,pm 10 (Plume AQI),12.380675818373811
19,pm 10 (Plume AQI),29.736967808930427
20,pm 10 (Plume AQI),21.881283639687215
21,pm 10 (Plume AQI),14.697721314781205
22,pm 10 (Plume AQI),24.039922003284072
23,pm 10 (Plume AQI),19.05684788290643
24,pm 10 (Plume AQI),17.428805404852085
25,pm 10 (Plume AQI),16.975960506546468
26,pm 10 (Plume AQI),17.60924186148132
27,pm 10 (Plume AQI),27.541990987300288
28,pm 10 (Plume AQI),11.512004801920769
29,pm 10 (Plume AQI),13.534797432811873
30,pm 10 (Plume AQI),12.692118226600986
31,pm 10 (Plume AQI),16.906275187104203
32,pm 10 (Plume AQI),17.628796400449943
33,pm 10 (Plume AQI),14.939795918367347
34,pm 10 (Plume AQI),15.023041006902153
35,pm 10 (Plume AQI),13.82129891085115
36,pm 10 (Plume AQI),12.73504706001417
37,pm 10 (Plume AQI),15.37882282161837
38,pm 10 (Plume AQI),15.580530603718405
39,pm 10 (Plume AQI),17.58074331667029
40,pm 10 (Plume AQI),40.299149986290104
2,pm 2.5 (Plume AQI),17.399398989209125
3,pm 2.5 (Plume AQI),33.40911593085985
4,pm 2.5 (Plume AQI),22.454151551793633
5,pm 2.5 (Plume AQI),23.53670045438658
6,pm 2.5 (Plume AQI),19.423332081612216
7,pm 2.5 (Plume AQI),21.50861798809151
8,pm 2.5 (Plume AQI),18.32078068309771
9,pm 2.5 (Plume AQI),19.756242448650827
10,pm 2.5 (Plume AQI),11.895149953139644
11,pm 2.5 (Plume AQI),12.031910211267606
12,pm 2.5 (Plume AQI),9.066381664885405
13,pm 2.5 (Plume AQI),11.737696651875757
14,pm 2.5 (Plume AQI),16.68588509474111
15,pm 2.5 (Plume AQI),15.570750908356883
16,pm 2.5 (Plume AQI),39.74572567168016
17,pm 2.5 (Plume AQI),5.492240844196152
18,pm 2.5 (Plume AQI),6.0089757127771914
19,pm 2.5 (Plume AQI),13.626583592938733
20,pm 2.5 (Plume AQI),9.540062963339087
21,pm 2.5 (Plume AQI),9.661423674127848
22,pm 2.5 (Plume AQI),16.898399014778324
23,pm 2.5 (Plume AQI),12.006795608991114
24,pm 2.5 (Plume AQI),12.208721465861398
25,pm 2.5 (Plume AQI),14.629212277312728
26,pm 2.5 (Plume AQI),14.91140485033865
27,pm 2.5 (Plume AQI),35.14481769766489
28,pm 2.5 (Plume AQI),12.143657462985194
29,pm 2.5 (Plume AQI),13.861612515042118
30,pm 2.5 (Plume AQI),11.142036124794746
31,pm 2.5 (Plume AQI),9.122625215889464
32,pm 2.5 (Plume AQI),10.651702628080582
33,pm 2.5 (Plume AQI),6.8730612244897955
34,pm 2.5 (Plume AQI),8.587596427121397
35,pm 2.5 (Plume AQI),7.497882210568778
36,pm 2.5 (Plume AQI),6.2458253213237525
37,pm 2.5 (Plume AQI),9.093853404191316
38,pm 2.5 (Plume AQI),9.285669521621058
39,pm 2.5 (Plume AQI),15.605194522929798
40,pm 2.5 (Plume AQI),31.94982177131889
