Περιφέρεια,Περφερειακή Ενότητα,Θάνατοι,Θάνατοι/100k,Θνητότητα (%)
Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Πέλλας,208,148.9,5.3
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Π.Ε. Δράμας,140,142.4,5.1
Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Πιερίας,148,116.8,5.3
Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Σερρών,184,104.3,5.6
Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Κιλκίς,79,98.2,4.8
Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Ημαθίας,138,98.1,5.2
Περιφέρεια Δυτικής Μακεδονίας,Π.Ε. Γρεβενών,31,97.6,5.1
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Ν. Καβάλας,96,69.2,5.0
Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Θεσσαλονίκης,750,67.5,2.8
Περιφέρεια Δυτικής Μακεδονίας,Π.Ε. Φλώρινας,31,60.3,3.2
Περιφέρεια Δυτικής Μακεδονίας,Π.Ε. Καστοριάς,30,59.6,4.0
Περιφέρεια Κεντρικής Μακεδονίας,Π.Ε. Χαλκιδικής,60,55.7,3.5
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Π.Ε. Ξάνθης,60,53.9,3.0
Περιφέρεια Θεσσαλίας,Π.Ε. Λαρίσης,122,42.9,2.3
Περιφέρεια Θεσσαλίας,Ν. Μαγνησίας,80,39.3,3.4
Περιφέρεια Θεσσαλίας,Π.Ε. Καρδίτσας,44,38.8,2.8
Περιφέρεια Θεσσαλίας,Π.Ε. Τρικάλων,48,36.6,3.4
Περιφέρεια Δυτικής Μακεδονίας,Π.Ε. Κοζάνης,52,34.6,2.7
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Π.Ε. Έβρου,34,23.0,1.9
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Π.Ε. Ροδόπης,25,22.3,1.5
Περιφέρεια Ηπείρου,Π.Ε. Ιωαννίνων,31,18.5,2.2
Περιφέρεια Βορείου Αιγαίου,Ν. Λέσβου,19,18.3,1.2
Περιφέρεια Αττικής,Περιφέρεια Αττικής,659,17.2,2.0
Περιφέρεια Ηπείρου,Π.Ε. Πρεβέζης,9,15.7,4.9
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Ευρυτανίας,2,10.0,0.9
Περιφέρεια Ιονίων Νήσων,Π.Ε. Κέρκυρας,10,9.6,2.2
Περιφέρεια Δυτικής Ελλάδας,Π.Ε. Αιτωλοακαρνανίας,19,9.0,2.3
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Φθιώτιδος,14,8.8,2.2
Περιφέρεια Ιονίων Νήσων,Π.Ε. Λευκάδας,2,8.4,4.3
Περιφέρεια Πελοποννήσου,Π.Ε. Κορινθίας,12,8.3,2.2
Περιφέρεια Ιονίων Νήσων,Π.Ε. Ζακύνθου,3,7.4,3.8
Περιφέρεια Δυτικής Ελλάδας,Π.Ε. Αχαϊας,18,5.8,1.4
Περιφέρεια Δυτικής Ελλάδας,Π.Ε. Ηλείας,8,5.0,2.0
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Φωκίδας,2,5.0,1.1
Περιφέρεια Ηπείρου,Π.Ε. Θεσπρωτίας,2,4.6,1.5
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Βοιωτίας,5,4.2,0.8
Περιφέρεια Βορείου Αιγαίου,Ν. Χίου,2,3.8,0.7
Περιφέρεια Πελοποννήσου,Π.Ε. Μεσσηνίας,6,3.8,1.0
Περιφέρεια Κρήτης,Π.Ε. Ηρακλείου,11,3.6,1.0
Περιφέρεια Ηπείρου,Π.Ε. Άρτας,2,2.9,0.9
Περιφέρεια Νοτίου Αιγαίου,Ν. Δωδεκανήσου,5,2.6,1.0
Περιφέρεια Νοτίου Αιγαίου,Ν. Κυκλάδων,3,2.5,0.6
Περιφέρεια Κρήτης,Π.Ε. Ρεθύμνης,2,2.3,0.9
Περιφέρεια Πελοποννήσου,Π.Ε. Αρκαδίας,2,2.3,0.7
Περιφέρεια Κρήτης,Π.Ε. Χανίων,3,1.9,0.5
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Π.Ε. Ευβοίας,3,1.4,0.7
Άγιον Όρος,Άγιο Όρος,0,0.0,0.0
Περιφέρεια Πελοποννήσου,Π.Ε. Αργολίδας,0,0.0,0.0
Περιφέρεια Ιονίων Νήσων,Ν. Κεφαλληνίας,0,0.0,0.0
Περιφέρεια Πελοποννήσου,Π.Ε. Λακωνίας,0,0.0,0.0
Περιφέρεια Κρήτης,Π.Ε. Λασιθίου,0,0.0,0.0
Περιφέρεια Βορείου Αιγαίου,Ν. Σάμου,0,0.0,0.0