Υπηρεσία,Νομός,Ημερ/νία Έναρξης,Ώρα Έναρξης,Ημερ/νία Κατασβεσης,Ώρα Κατάσβεσης,Δασαρχείο,Δήμος,Περιοχή,Διεύθυνση,Δάση,Δασική Έκταση,Άλση,Χορτ/κές Εκτάσεις,Καλάμια - Βάλτοι,Γεωργ. Εκτάσεις,Υπολ. Καλλιεργειών,Σκουπιδότοποι,ΠΥΡΟΣ. ΣΩΜΑ,ΠΕΖΟΠΟΡΑ ΤΜΗΜΑΤΑ,ΕΘΕΛΟ-ΝΤΕΣ,ΣΤΡΑΤΟΣ,ΑΛΛΕΣ ΔΥΝΑΜΕΙΣ,ΠΥΡΟΣ. ΟΧΗΜ.,ΟΧΗΜ. ΟΤΑ,ΒΥΤΙΟ- ΦΟΡΑ,ΜΗΧΑΝΗ-ΜΑΤΑ,ΕΛΙΚΟ- ΠΤΕΡΑ,Α/Φ CL415,Α/Φ CL215,Α/Φ PZL,Α/Φ GRU.,lat,lng,loc_type
Π.Υ. ΓΟΥΜΕΝΙΣΣΑΣ,ΚΙΛΚΙΣ,2019-02-14,13:30,2019-02-14,14:45,ΓΟΥΜΕΝΙΣΣΑΣ,Δ. ΠΑΙΟΝΙΑΣ,,ΑΓΡ. ΠΕΡ. ΚΑΣΤΑΝΕΡΗΣ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,40.9783876,22.3886536,APPROXIMATE
Π.Υ. ΜΕΓΑΛΟΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,2019-04-02,15:45,2019-04-02,16:21,,Δ. ΜΕΓΑΛΟΠΟΛΗΣ,ΚΑΡΥΤΑΙΝΑ,ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΜΕΓ/ΛΗΣ-ΚΑΡΥΤΑΙΝΑΣ,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,37.37876720000001,22.063555800000003,GEOMETRIC_CENTER
Π.Κ. ΚΟΛΙΝΔΡΟΥ,ΠΙΕΡΙΑΣ,2019-10-15,16:26,2019-10-15,17:55,ΠΙΕΡΙΑΣ,Δ. ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΡΥΑΚΙΑ,"""ΜΠΕΡΝΙΤΣΑ""",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,40.40086,22.3937697,APPROXIMATE
Π.Υ. ΜΟΥΖΑΚΙΟΥ,ΚΑΡΔΙΤΣΑΣ,2019-03-06,11:14,2019-03-06,20:05,ΜΟΥΖΑΚΙΟΥ,Δ. ΜΟΥΖΑΚΙΟΥ,ΒΑΤΣΟΥΝΙΑ,Τ.Κ. ΒΑΤΣΟΥΝΙΑΣ,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,39.4109626,21.5904986,GEOMETRIC_CENTER
1ος  Π.Σ. ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΣ,2019-06-11,21:15,,,,Δ. ΛΑΡΙΣΑΙΩΝ,,ΚΙΟΣΚΙ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.63902239999999,22.4191254,APPROXIMATE
Π.Υ. ΜΑΡΚΟΠΟΥΛΟΥ,ΑΤΤΙΚΗΣ,2019-09-04,14:18,2019-09-04,14:55,ΠΕΝΤΕΛΗΣ,Δ. ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,,ΜΑΡΚΟΠΟΥΛΟ - ΟΔΟΣ ΙΠΠΟΔΡΟΜΟΥ,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,37.8833564,23.9333037,APPROXIMATE
Π.Υ. ΑΡΕΟΠΟΛΕΩΣ,ΛΑΚΩΝΙΑΣ,2019-10-09,12:35,2019-10-09,15:10,ΓΥΘΕΙΟΥ,Δ. ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,,ΜΠΟΥΛΑΡΙΟΙ,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,36.49210720000001,22.4145889,APPROXIMATE
Π.Κ. ΣΕΡΒΙΩΝ,ΚΟΖΑΝΗΣ,2019-02-27,11:55,2019-02-27,11:55,ΚΟΖΑΝΗΣ,Δ. ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ,,ΚΡΑΝΙΔΙΑ ΣΕΡΒΙΩΝ,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,40.1956323,21.9592874,APPROXIMATE
1ος  Π.Σ. ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,2019-02-20,18:05,,,ΚΕΡΚΥΡΑΣ,Δ. ΚΕΡΚΥΡΑΣ,,ΠΑΡΕΛΙΩΝ,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.6249838,19.9223461,APPROXIMATE
Π.Υ. ΧΡΥΣΟΥΠΟΛΗΣ,ΚΑΒΑΛΑΣ,2019-03-29,13:07,2019-03-30,04:09,,Δ. ΝΕΣΤΟΥ,,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ Τ.Δ ΠΟΝΤΟΛΙΒΑΔΟΥ,0.0,0.0,0.0,45.0,15.0,0.0,10.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40.9718954,24.5820857,APPROXIMATE
Π.Κ. ΑΡΓΥΡΟΧΩΡΙΟΥ,ΦΘΙΩΤΙΔΑΣ,2019-07-14,17:12,2019-07-14,22:40,ΛΑΜΙΑΣ,Δ. ΛΑΜΙΕΩΝ,ΝΕΟΧΩΡΙ,ΘΕΣΗ ΣΠΑΝΑΚΟΡΑΧΗ,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0,0,0,4,2,0,0,0,0,0,2,0,38.7981805,22.1983804,APPROXIMATE
Π.Υ. ΠΥΡΓΟΥ,ΗΛΕΙΑΣ,2019-06-06,16:10,,,ΠΥΡΓΟΥ,Δ. ΠΥΡΓΟΥ,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,0.0,0.0,0.0,0.0,0.2,1.8,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,37.67184870000001,21.4432257,APPROXIMATE
Π.Y. ΑΡΙΔΑΙΑΣ,ΠΕΛΛΑΣ,2019-09-29,18:30,2019-09-29,20:00,ΑΡΙΔΑΙΑΣ,Δ. ΑΛΜΩΠΙΑΣ,,Τ.Κ. ΙΔΑΣ ΑΛΜΩΠΙΑΣ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,41.01007910000001,22.1766061,APPROXIMATE
Π.Κ. ΑΣΤΡΟΧΩΡΙΟΥ,ΑΡΤΑΣ,2019-08-11,16:55,2019-08-11,19:40,ΑΡΤΑΣ,Δ. ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ,,ΜΕΣΟΠΥΡΓΟΣ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,39.1582421,20.9876839,APPROXIMATE
Π.Υ. ΑΡΤΑΣ,ΑΡΤΑΣ,2019-08-12,14:35,2019-08-19,10:25,ΑΜΦΙΛΟΧΙΑΣ,-,,ΦΛΩΡΙΑΔΑ ΑΜΦΙΛΟΧΙΑΣ,0.0,60.0,0.0,0.0,0.0,120.0,0.0,0.0,80.0,35.0,0,0,19,45,0,2,0,3,2,1,2,0,39.1582421,20.9876839,APPROXIMATE
Π.Υ. ΣΥΚΙΩΝΟΣ - ΚΙΑΤΟΥ,ΚΟΡΙΝΘΙΑΣ,2019-03-23,14:10,2019-03-23,18:50,ΚΟΡΙΝΘΟΥ,Δ. ΣΙΚΥΩΝΙΩΝ,ΣΟΥΛΙ,ΣΟΥΛΙ,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,37.98632360000001,22.642972600000004,APPROXIMATE
Π.Υ. ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,2019-02-27,18:08,2019-02-27,19:50,ΞΑΝΘΗΣ,Δ. ΤΟΠΕΙΡΟΥ,,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΜΑΓΓΑΝΩΝ,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,41.1362513,24.8877024,APPROXIMATE
1ος  Π.Σ. ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΣ,2019-10-24,13:33,2019-10-24,13:10,ΛΑΡΙΣΑΣ,Δ. ΛΑΡΙΣΑΙΩΝ,,ΕΛΕΥΘΕΡΕ,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.57791339999999,22.3372429,APPROXIMATE
Π.Υ. ΝΑΥΠΛΙΟΥ,ΑΡΓΟΛΙΔΟΣ,2019-07-08,17:47,2019-07-08,20:33,,Δ. ΝΑΥΠΛΙΕΩΝ,,ΣΤΑΥΡΟΠΟΔΙ,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,37.5208038,23.112355,APPROXIMATE
Π.Υ. ΛΕΧΑΙΝΩΝ,ΗΛΕΙΑΣ,2019-09-15,10:45,2019-09-15,12:37,ΑΜΑΛΙΑΔΑΣ,Δ. ΠΗΝΕΙΟΥ,ΒΑΡΘΟΛΟΜΙΟ,ΒΑΡΘΟΛΟΜΙΟ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,37.8611008,21.208014,APPROXIMATE
Π.Υ. ΕΔΕΣΣΑΣ,ΠΕΛΛΑΣ,2019-07-08,17:07,,,,Δ. ΣΚΥΔΡΑΣ,ΚΑΛΗ,Τ.Κ. ΚΑΛΗΣ,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,40.813677,22.166867,APPROXIMATE
Π.Υ. ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2019-09-15,14:40,2019-09-15,16:20,ΜΕΣΟΛΟΓΓΙΟΥ,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,,ΜΑΓΟΥΛΑ Δ.Κ ΝΕΟΧΩΡΙΟΥ,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,38.39431879999999,21.2649902,APPROXIMATE
Π.Υ. ΚΑΛΑΜΑΤΑΣ,ΜΕΣΣΗΝΙΑΣ,2019-06-30,10:53,2019-06-30,11:06,ΚΑΛΑΜΑΤΑΣ,Δ. ΚΑΛΑΜΑΤΑΣ,,ΑΚΟΒΙΤΙΚΑ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,37.03743730000001,22.0814927,APPROXIMATE
3ος Π.Σ. (ΒΙ.ΠΕ.) ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΣ,2019-06-10,22:12,,,,Δ. ΤΕΜΠΩΝ,,ΑΜΦΙΘΕΑ,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.63902239999999,22.4191254,APPROXIMATE
Π.Υ. ΓΟΥΜΕΝΙΣΣΑΣ,ΚΙΛΚΙΣ,2019-06-27,11:00,2019-06-27,12:05,ΓΟΥΜΕΝΙΣΣΑΣ,Δ. ΠΑΙΟΝΙΑΣ,,ΑΓΡ. ΠΕΡ. ΡΥΖΙΩΝ,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,40.9289131,22.5708312,APPROXIMATE
Π.Υ. ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,2019-03-05,18:19,2019-03-05,19:40,ΚΙΛΚΙΣ,Δ. ΚΙΛΚΙΣ,,ΑΓΡ. ΠΕΡ. ΣΕΒΑΣΤΟΥ,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,40.99370709999999,22.8753674,APPROXIMATE
Π.Υ. ΛΕΧΑΙΝΩΝ,ΗΛΕΙΑΣ,2019-03-01,13:55,2019-03-01,15:55,ΠΑΤΡΩΝ,-,,ΒΕΛΙΤΣΕΣ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,37.7045099,21.5706786,APPROXIMATE
Π.Υ. ΝΑΥΠΑΚΤΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2019-08-09,17:38,2019-08-09,18:20,ΝΑΥΠΑΚΤΟΥ,Δ. ΝΑΥΠΑΚΤΙΑΣ,,Τ.Κ. ΑΦΡΟΞΞΥΛΙΑΣ,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,6.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,38.3929775,21.8348729,APPROXIMATE
Π.Υ. ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,2019-10-18,19:04,2019-10-18,20:20,ΚΟΖΑΝΗΣ,Δ. ΚΟΖΑΝΗΣ,,ΛΕΥΚΟΠΗΓΗ,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,40.23133259999999,21.7487483,APPROXIMATE
Π.Υ. ΠΑΡΓΑΣ,ΠΡΕΒΕΖΗΣ,2019-08-09,14:53,,,,Δ. ΠΑΡΓΑΣ,-,Τ.Κ. ΣΚΑΦΙΔΩΤΗΣ,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,7.0,0.0,0,0,0,4,0,0,0,0,0,0,0,0,39.28521720000001,20.400550600000006,APPROXIMATE
Π.Υ. ΑΙΓΙΟΥ,ΑΧΑΙΑΣ,2019-10-11,17:45,2019-10-11,17:58,ΑΙΓΙΟΥ,Δ. ΑΙΓΙΑΛΕΙΑΣ,,ΑΙΓΙΟ,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,38.2505451,22.0810942,APPROXIMATE
Π.Υ. ΜΥΡΙΝΑΣ ΛΗΜΝΟΥ,ΛΕΣΒΟΥ,2019-01-16,11:30,2019-11-16,12:50,ΛΕΣΒΟΥ,Δ. ΛΗΜΝΟΥ,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ - ΛΗΜΝΟΥ,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.91129229999999,25.151139,APPROXIMATE
1ος  Π.Σ. ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,2019-11-22,11:30,2019-11-22,13:15,,Δ. ΗΡΑΚΛΕΙΟΥ,ΒΕΝΕΡΑΤΟ ΝΈΟ,ΒΕΝΕΡΑΤΟ,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,35.3103945,25.1595947,GEOMETRIC_CENTER
Π.Υ. ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2019-08-28,16:40,2019-08-28,18:42,ΜΕΣΟΛΟΓΓΙΟΥ,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,,ΑΓΙΑ ΤΡΙΑΔΑ Δ.Κ ΑΙΤΩΛΙΚΟΥ,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,6.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,38.4364709,21.3539518,APPROXIMATE
Π.Κ. ΠΛΩΜΑΡΙΟΥ,ΛΕΣΒΟΥ,2019-11-03,14:59,2019-11-03,20:08,Δ/ΝΣΗ ΔΑΣΩΝ ΛΕΣΒΟΥ,Δ. ΜΥΤΙΛΗΝΗΣ,ΠΛΩΜΑΡΙ,ΠΛΩΜΑΡΙ ΛΕΣΒΟΥ,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,8.0,0.0,4,0,0,3,0,0,0,0,0,0,0,0,38.97513,26.3684411,APPROXIMATE
Π.Κ. ΓΑΡΑΖΟΥ,ΡΕΘΥΜΝΟΥ,2019-09-26,14:30,2019-09-26,18:40,ΡΕΘΥΜΝΗΣ,Δ. ΜΥΛΟΠΟΤΑΜΟΥ,,ΛΕΙΒΑΔΑ ΔΗΜΟΥ ΜΥΛΟΠΟΤΑΜΟΥ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,1,2,0,1,0,0,0,0,0,0,35.36555450000001,24.491983800000003,APPROXIMATE
Π.Υ. ΑΡΤΑΣ,ΑΡΤΑΣ,2019-10-24,16:45,2019-10-24,19:35,ΑΡΤΑΣ,Δ. ΑΡΤΑΙΩΝ,,ΨΑΘΟΤΟΠΙ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,39.0849052,20.952039300000006,APPROXIMATE
Π.Υ. ΣΟΦΑΔΩΝ,ΚΑΡΔΙΤΣΑΣ,2019-09-06,16:50,2019-09-06,17:45,ΚΑΡΔΙΤΣΑΣ,Δ. ΣΟΦΑΔΩΝ,ΠΑΣΧΑΛΙΤΣΑ,Τ.Κ. ΠΑΣΧΑΛΙΤΣΑΣ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.3562135,22.2103208,APPROXIMATE
Π.Κ. ΚΑΣΣΑΝΔΡΑΣ,ΧΑΛΚΙΔΙΚΗΣ,2019-05-23,23:06,,,,Δ. ΚΑΣΣΑΝΔΡΑΣ,,ΕΛΑΝΗ,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,4,0,0,0,0,0,0,0,0,40.0512157,23.3488604,APPROXIMATE
Π.Υ. ΟΡΕΣΤΙΑΔΑΣ,ΕΒΡΟΥ,2019-08-24,14:34,2019-08-24,14:44,ΔΙΔ/ΧΟΥ,Δ. ΟΡΕΣΤΙΑΔΑΣ,ΡΙΖΙΑ,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΡΙΖΙΩΝ,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,41.6237952,26.4256476,APPROXIMATE
Π.Υ. ΓΑΡΓΑΛΙΑΝΩΝ,ΜΕΣΣΗΝΙΑΣ,2019-09-05,15:30,2019-09-05,18:36,ΚΥΠΑΡΙΣΣΙΑΣ,Δ. ΤΡΙΦΥΛΛΙΑΣ,,ΜΑΤΙ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,37.2134569,21.689921,APPROXIMATE
Π.Κ. ΜΕΛΙΓΑΛΑ,ΜΕΣΣΗΝΙΑΣ,2019-09-19,21:45,2019-09-19,22:53,ΚΑΛΑΜΑΤΑ,Δ. ΚΑΛΑΜΑΤΑΣ,ΑΓΙΟΣ ΦΛΩΡΟΣ,ΤΚ.ΑΓΙΟΥ ΦΛΩΡΟΥ ΘΕΣΗ ΜΟΥΖΓΑ,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,37.1681284,22.0266184,APPROXIMATE
Π.Υ. ΑΡΤΑΣ,ΑΡΤΑΣ,2019-02-26,13:00,2019-02-26,14:30,ΑΡΤΑΣ,-,,ΚΑΘΑΡΟΒΟΥΝΙ ΑΜΦΙΛΟΧΙΑΣ,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.097081,21.1169803,APPROXIMATE
Π.Κ. ΒΟΥΤΣΑΡΟΥ,ΙΩΑΝΝΙΝΩΝ,2019-03-07,15:00,2019-03-07,16:15,Δ/ΝΣΗ ΔΑΣΩΝ ΙΩΑΝΝΙΝΩΝ,-,,Τ.Κ.ΛΕΠΤΟΚΑΡΥΑΣ,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,39.8225749,20.9107406,APPROXIMATE
Π.Κ. ΣΗΤΕΙΑΣ,ΛΑΣΙΘΙΟΥ,2019-02-04,13:45,,,Ν. ΛΑΣΙΘΙΟΥ,Δ. ΣΗΤΕΙΑΣ,,ΚΑΤΣΙΔΟΝΙ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,35.1280839,26.1256117,APPROXIMATE
1ος  Π.Σ. ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΣ,2019-09-01,18:15,,,,Δ. ΚΙΛΕΛΕΡ,,ΠΛΑΤΥΚΑΜΠΟΣ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.621161,22.5355949,APPROXIMATE
6ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2019-02-28,13:54,2019-02-28,15:25,ΘΕΣΣΑΛΟΝΙΚΗ,Δ. ΔΕΛΤΑ,,ΑΓΡ. ΠΕΡ. Ν. ΜΑΓΝΗΣΙΑΣ,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,40.6196193,22.739048,APPROXIMATE
1ος  Π.Σ. ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,2019-06-09,03:14,,,ΚΕΡΚΥΡΑΣ,Δ. ΚΕΡΚΥΡΑΣ,,ΣΠΑΡΤΥΛΑΣ,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.72067020000001,19.8417844,APPROXIMATE
1ος  Π.Σ. ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΣ,2019-04-01,18:40,,,,Δ. ΛΑΡΙΣΑΙΩΝ,,ΚΟΥΤΣΟΧΕΡΟ,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,39.6019106,22.28609,APPROXIMATE
Π.Υ. ΒΙ.ΠΕ. ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,2019-08-16,17:46,2019-08-16,20:15,ΚΙΛΚΙΣ,Δ. ΠΑΙΟΝΙΑΣ,,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΛΙΜΝΗΣ ΑΡΤΖΑΝ,0.0,0.0,0.0,0.5,0.0,0.5,3.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,40.9909795,22.5245093,APPROXIMATE
